provider,hasView,object
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=525
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=518
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=62
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=506
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=520
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=481
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=474
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=479
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=48
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=443
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=462
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=412
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=455
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=347
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=467
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=501
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=436
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=429
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=176
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=448
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=359
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=157
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=133
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=424
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=335
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=361
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=373
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=265
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=277
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=222
