provider,hasView,object
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/34219.wmv'}, {'@id': 'http://www.amazon.com/dp/B001ELLCOW'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/34217.wmv'}, {'@id': 'http://www.amazon.com/dp/B001ELLCNI'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/342/usaf/342-USAF-30011.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/mp4', '@id': 'http://media.nara.gov/presidential-libraries/clinton/videos/MT03175-MT03177_10JAN1995_6829724'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/111/lc/111-LC-41128.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/mp4', '@id': 'http://media.nara.gov/presidential-libraries/clinton/videos/MT10863_MT10865_23NOV1999_6850844.mp4'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/111/lc/111-LC-40432.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/428/npc/428-npc-47188.wmv        '}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/111/lc/111-LC-32928.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/111/lc/111-lc-32935.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/428/npc/428-npc-47231.wmv        '}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/30697.wmv'}, {'@id': 'http://www.amazon.com/dp/B000UWNCJY'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/111/lc/111-LC-34347.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/40429.wmv'}, {'@id': 'http://www.amazon.com/dp/B001FB4Z4A'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/070/70-156.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/018/c/18-c-576.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/018/c/18-c-277.wmv'}, {'@id': 'http://www.amazon.com/dp/B00101L02U'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/018/c/18-c-233.wmv'}, {'@id': 'http://www.amazon.com/dp/B00101L02U'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/022/22-4r1-2.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/047/47-1.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/342/usaf/342-USAF-20863.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/342/usaf/342-USAF-35392.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/mp4', '@id': 'http://media.nara.gov/presidential-libraries/clinton/594557/5729261_11077-11080.m4v'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/mp4', '@id': 'http://media.nara.gov/presidential-libraries/clinton/594557/5896793_2191-2192.m4v'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/45616.wmv'}, {'@id': 'http://www.amazon.com/dp/B001QFYJJ6'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/024/24-7r1-9.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/43727.wmv'}, {'@id': 'http://www.amazon.com/dp/B001OTZPZ6'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/41659.wmv'}, {'@id': 'http://www.amazon.com/dp/B001GPOU3Q'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/029/29-4.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/43677.wmv'}, {'@id': 'http://www.amazon.com/dp/B001OTZPQU'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/45623.wmv'}, {'@id': 'http://www.amazon.com/dp/B001QFYJLE'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/43696.wmv'}, {'@id': 'http://www.amazon.com/dp/B001QFYJ5K'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/mp4', '@id': 'http://media.nara.gov/presidential-libraries/clinton/594557/5890790-1616-1617.m4v'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/43685.wmv'}, {'@id': 'http://www.amazon.com/dp/B001OTZPSS'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/026/26-15.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/43719.wmv'}, {'@id': 'http://www.amazon.com/dp/B001M0NIWY'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/45635.wmv'}, {'@id': 'http://www.amazon.com/dp/B001QFYJP0'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/mp4', '@id': 'http://media.nara.gov/presidential-libraries/clinton/594557/5956631_6270-6271.m4v'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/024/24-33.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/mp4', '@id': 'http://media.nara.gov/presidential-libraries/clinton/594557/5956662_11885-11887.m4v'}]",
